League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Argentina - Liga Profesional,Aldosivi,16.0,2.88,100%,81%,56%,31%,12%,6%,44%,12%,44%,12%,44%
Argentina - Liga Profesional,Central Cordoba,16.0,2.69,94%,75%,56%,25%,12%,6%,50%,31%,25%,25%,19%
Argentina - Liga Profesional,Racing Club,16.0,2.63,100%,69%,44%,31%,19%,0%,44%,38%,19%,38%,19%
Argentina - Liga Profesional,Defensa y J.,16.0,2.5,94%,69%,44%,25%,19%,0%,50%,31%,25%,25%,19%
Argentina - Liga Profesional,A. Tucuman,16.0,2.38,100%,62%,44%,19%,12%,0%,38%,25%,38%,25%,38%
Argentina - Liga Profesional,Barracas C.,16.0,2.38,94%,69%,44%,19%,6%,6%,56%,31%,19%,25%,12%
Argentina - Liga Profesional,Estudiantes,16.0,2.31,88%,69%,38%,31%,6%,0%,44%,31%,38%,19%,25%
Argentina - Liga Profesional,I. Rivadavia,16.0,2.31,88%,75%,38%,19%,12%,0%,50%,38%,25%,25%,12%
Argentina - Liga Profesional,Belgrano,16.0,2.25,88%,81%,31%,25%,0%,0%,50%,31%,31%,19%,19%
Argentina - Liga Profesional,Instituto,16.0,2.25,94%,69%,38%,12%,12%,0%,31%,31%,44%,25%,38%
Argentina - Liga Profesional,Boca Juniors,16.0,2.19,94%,75%,38%,12%,0%,0%,38%,50%,19%,44%,12%
Argentina - Liga Profesional,Independiente,16.0,2.19,88%,81%,31%,12%,6%,0%,38%,44%,31%,31%,19%
Argentina - Liga Profesional,Argentinos Jrs,16.0,2.06,81%,62%,31%,19%,12%,0%,38%,56%,25%,38%,6%
Argentina - Liga Profesional,Banfield,16.0,2.06,88%,56%,38%,19%,6%,0%,50%,25%,38%,12%,25%
Argentina - Liga Profesional,Huracan,16.0,1.94,88%,69%,19%,6%,6%,6%,38%,50%,25%,38%,12%
Argentina - Liga Profesional,River Plate,16.0,1.88,81%,62%,25%,12%,6%,0%,38%,56%,25%,38%,6%
Argentina - Liga Profesional,Rosario Central,16.0,1.88,75%,50%,50%,12%,0%,0%,38%,56%,31%,31%,6%
Argentina - Liga Profesional,Sarmiento,16.0,1.88,81%,62%,25%,12%,6%,0%,50%,25%,44%,6%,25%
Argentina - Liga Profesional,Tigre,16.0,1.88,88%,56%,31%,6%,6%,0%,31%,44%,38%,31%,25%
Argentina - Liga Profesional,Velez Sarsfield,16.0,1.81,88%,50%,31%,6%,6%,0%,19%,31%,62%,19%,50%
Argentina - Liga Profesional,Union Santa Fe,16.0,1.75,88%,50%,25%,12%,0%,0%,44%,25%,44%,12%,31%
Argentina - Liga Profesional,Gimnasia,16.0,1.69,88%,56%,25%,0%,0%,0%,19%,38%,56%,25%,44%
Argentina - Liga Profesional,Newells,16.0,1.69,88%,62%,19%,0%,0%,0%,25%,38%,50%,25%,38%
Argentina - Liga Profesional,Godoy Cruz,16.0,1.63,69%,56%,31%,6%,0%,0%,25%,44%,62%,12%,31%
Argentina - Liga Profesional,T. de Cordoba,16.0,1.63,75%,50%,25%,6%,6%,0%,44%,38%,44%,12%,19%
Argentina - Liga Profesional,Lanus,16.0,1.5,75%,50%,12%,6%,6%,0%,38%,44%,44%,19%,19%
Argentina - Liga Profesional,Platense,16.0,1.5,88%,44%,19%,0%,0%,0%,38%,38%,38%,25%,25%
Argentina - Liga Profesional,San Lorenzo,16.0,1.5,75%,44%,19%,6%,6%,0%,31%,56%,38%,31%,12%
Argentina - Liga Profesional,SM San Juan,16.0,1.44,88%,38%,12%,6%,0%,0%,12%,19%,81%,6%,69%
Argentina - Liga Profesional,D. Riestra,16.0,1.25,56%,44%,25%,0%,0%,0%,19%,75%,50%,31%,6%
Argentina - Primera Nacional,Racing Cordoba,21.0,2.52,95%,81%,43%,24%,10%,0%,57%,24%,24%,19%,19%
Argentina - Primera Nacional,Agropecuario,21.0,2.29,95%,76%,43%,5%,5%,5%,48%,29%,29%,24%,24%
Argentina - Primera Nacional,Arsenal Sarandi,21.0,2.1,90%,71%,29%,19%,0%,0%,48%,14%,48%,5%,38%
Argentina - Primera Nacional,Defensores U.,21.0,2.1,90%,76%,33%,10%,0%,0%,29%,14%,67%,5%,57%
Argentina - Primera Nacional,Patronato,21.0,2.1,86%,67%,33%,19%,5%,0%,52%,33%,29%,19%,14%
Argentina - Primera Nacional,San Telmo,20.0,2.05,90%,55%,35%,15%,5%,5%,40%,30%,40%,20%,30%
Argentina - Primera Nacional,Chacarita J.,21.0,2.0,86%,67%,29%,14%,5%,0%,24%,52%,38%,38%,24%
Argentina - Primera Nacional,Chaco For Ever,21.0,2.0,90%,67%,38%,5%,0%,0%,33%,48%,29%,38%,19%
Argentina - Primera Nacional,Central Norte,21.0,1.95,95%,67%,29%,5%,0%,0%,33%,29%,43%,24%,38%
Argentina - Primera Nacional,D. Madryn,20.0,1.95,85%,65%,30%,10%,5%,0%,60%,30%,25%,15%,10%
Argentina - Primera Nacional,Quilmes,19.0,1.95,84%,63%,32%,16%,0%,0%,42%,37%,37%,21%,21%
Argentina - Primera Nacional,Los Andes,21.0,1.9,86%,67%,29%,10%,0%,0%,43%,38%,33%,24%,19%
Argentina - Primera Nacional,Almirante Brown,21.0,1.86,81%,62%,19%,10%,5%,5%,43%,29%,48%,10%,29%
Argentina - Primera Nacional,CA Guemes,21.0,1.86,90%,67%,19%,10%,0%,0%,57%,19%,33%,10%,24%
Argentina - Primera Nacional,Deportivo Maipu,21.0,1.86,95%,62%,19%,10%,0%,0%,38%,33%,33%,29%,29%
Argentina - Primera Nacional,Nueva Chicago,21.0,1.86,86%,62%,33%,5%,0%,0%,48%,38%,29%,24%,14%
Argentina - Primera Nacional,All Boys,21.0,1.81,67%,57%,38%,19%,0%,0%,48%,38%,48%,5%,14%
Argentina - Primera Nacional,Colon Santa Fe,20.0,1.8,90%,50%,30%,5%,5%,0%,35%,30%,45%,20%,35%
Argentina - Primera Nacional,Temperley,21.0,1.76,76%,62%,29%,10%,0%,0%,19%,57%,48%,33%,24%
Argentina - Primera Nacional,Alvarado,20.0,1.75,80%,65%,25%,5%,0%,0%,35%,30%,55%,10%,35%
Argentina - Primera Nacional,CA Estudiantes,21.0,1.71,86%,43%,24%,5%,5%,5%,33%,43%,38%,29%,24%
Argentina - Primera Nacional,San Miguel,21.0,1.71,86%,57%,24%,5%,0%,0%,43%,48%,24%,33%,10%
Argentina - Primera Nacional,E. Rio Cuarto,21.0,1.67,86%,57%,19%,5%,0%,0%,43%,48%,24%,33%,10%
