Team_Away,Matches,Perc.,W,D,L,Goals,Pts,PPG,Argentina - Liga Profesional
Tigre,3 out of 8,38%,3,0,0,8 - 2,9,3.00,Argentina - Liga Profesional
Huracan,3 out of 8,38%,3,0,0,5 - 1,9,3.00,Argentina - Liga Profesional
San Lorenzo,3 out of 8,38%,3,0,0,4 - 0,9,3.00,Argentina - Liga Profesional
I. Rivadavia,2 out of 8,25%,2,0,0,4 - 0,6,3.00,Argentina - Liga Profesional
Newells,2 out of 8,25%,2,0,0,4 - 1,6,3.00,Argentina - Liga Profesional
Barracas C.,2 out of 8,25%,2,0,0,4 - 1,6,3.00,Argentina - Liga Profesional
Lanus,1 out of 8,12%,1,0,0,1 - 0,3,3.00,Argentina - Liga Profesional
Gimnasia,1 out of 8,12%,1,0,0,1 - 0,3,3.00,Argentina - Liga Profesional
Banfield,1 out of 8,12%,1,0,0,1 - 0,3,3.00,Argentina - Liga Profesional
Rosario Central,4 out of 9,44%,3,1,0,8 - 3,10,2.50,Argentina - Liga Profesional
Aldosivi,3 out of 8,38%,2,1,0,8 - 3,7,2.33,Argentina - Liga Profesional
River Plate,3 out of 7,43%,2,1,0,6 - 1,7,2.33,Argentina - Liga Profesional
Godoy Cruz,3 out of 8,38%,2,1,0,5 - 2,7,2.33,Argentina - Liga Profesional
Argentinos Jrs,3 out of 7,43%,2,1,0,5 - 3,7,2.33,Argentina - Liga Profesional
Defensa y J.,5 out of 9,56%,3,2,0,9 - 2,11,2.20,Argentina - Liga Profesional
Boca Juniors,5 out of 8,62%,3,2,0,9 - 3,11,2.20,Argentina - Liga Profesional
D. Riestra,5 out of 8,62%,3,1,1,8 - 3,10,2.00,Argentina - Liga Profesional
Platense,5 out of 8,62%,3,1,1,6 - 3,10,2.00,Argentina - Liga Profesional
A. Tucuman,2 out of 8,25%,1,1,0,2 - 1,4,2.00,Argentina - Liga Profesional
Sarmiento,2 out of 8,25%,1,1,0,2 - 1,4,2.00,Argentina - Liga Profesional
Racing Club,4 out of 9,44%,2,1,1,5 - 3,7,1.75,Argentina - Liga Profesional
Estudiantes,3 out of 9,33%,1,2,0,6 - 4,5,1.67,Argentina - Liga Profesional
Independiente,3 out of 8,38%,1,2,0,4 - 3,5,1.67,Argentina - Liga Profesional
Velez Sarsfield,2 out of 8,25%,1,0,1,2 - 2,3,1.50,Argentina - Liga Profesional
Belgrano,3 out of 8,38%,1,1,1,3 - 4,4,1.33,Argentina - Liga Profesional
T. de Cordoba,4 out of 8,50%,1,2,1,4 - 4,5,1.25,Argentina - Liga Profesional
